"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","920","0","0","0","288.7","0","330.8","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1520","0","0","0","16.55","0","6.5","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1500","0","0","0","18.75","0","8","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1480","0","0","0","21.15","0","9.75","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1460","0","0","0","23.9","0","11.9","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1440","0","0","0","26.9","0","14.4","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1420","0","0","0","30.25","0","17.35","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1400","0","0","0","34.05","0","20.85","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1380","0","0","0","38.15","0","24.9","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1360","0","0","0","42.65","0","29.55","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1340","0","0","0","47.55","0","34.85","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1320","0","0","0","53","0","40.9","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1300","0","0","0","58.95","0","47.8","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1280","0","0","0","65.45","0","55.55","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1260","0","0","0","72.5","0","64.15","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1240","0","0","0","80.15","0","73.7","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1220","0","0","0","88.4","0","84.2","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1200","0","0","0","97.3","0","95.65","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1180","0","0","0","106.8","0","108","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1160","0","0","0","117","0","121.3","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1140","0","0","0","127.85","0","135.55","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1120","0","0","0","139.35","0","150.5","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1100","0","0","0","151.55","0","166.25","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1080","0","0","0","164.4","0","182.75","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1060","0","0","0","178","0","199.85","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1040","0","0","0","192.15","0","217.5","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1020","0","0","0","206.85","0","235.6","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1000","0","0","0","222.2","0","254.15","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","980","0","0","0","238.1","0","273","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","960","0","0","0","254.5","0","292.05","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","940","0","0","0","271.4","0","311.35","0","0","0","0","0","1239.2"
"APOLLOHOSP","26-Apr-2019","27-Jun-2019","CE","1540","0","0","0","14.6","0","5.25","0","0","0","0","0","1239.2"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1540","0","0","0","14.6","0","3.25","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","920","0","0","0","288.7","0","307.5","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1380","0","0","0","38.15","0","17.85","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1200","0","0","0","97.3","0","79.05","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1460","0","0","0","23.9","0","7.9","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1180","0","0","0","106.8","0","90.45","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1360","0","0","0","42.65","0","21.6","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1160","0","0","0","117","0","102.8","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1500","0","0","0","18.75","0","5.1","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1140","0","0","0","127.85","0","116.1","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1340","0","0","0","47.55","0","25.95","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1120","0","0","0","139.35","0","130.4","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1440","0","0","0","26.9","0","9.8","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1100","0","0","0","151.55","0","145.45","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1320","0","0","0","53","0","30.95","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1080","0","0","0","164.4","0","161.35","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1520","0","0","0","16.55","0","4.05","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1060","0","0","0","178","0","177.95","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1300","0","0","0","58.95","0","36.75","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1040","0","0","0","192.15","0","195.2","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1420","0","0","0","30.25","0","12","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1020","0","0","0","206.85","0","213","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1280","0","0","0","65.45","0","43.4","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1000","0","0","0","222.2","0","231.3","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1480","0","0","0","21.15","0","6.35","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","980","0","0","0","238.1","0","249.95","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1260","0","0","0","72.5","0","50.9","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","960","0","0","0","254.5","0","268.9","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1400","0","0","0","34.05","0","14.7","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","940","0","0","0","271.4","0","288.1","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1240","0","0","0","80.15","0","59.3","0","0","0","0","0","1216.5"
"APOLLOHOSP","30-Apr-2019","27-Jun-2019","CE","1220","0","0","0","88.4","0","68.7","0","0","0","0","0","1216.5"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1420","0","0","0","30.25","0","8.5","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1020","0","0","0","206.85","0","192.1","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1460","0","0","0","23.9","0","5.45","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1480","0","0","0","21.15","0","4.3","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1500","0","0","0","18.75","0","3.4","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1520","0","0","0","16.55","0","2.65","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1540","0","0","0","14.6","0","2.1","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1300","0","0","0","58.95","0","28.45","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1320","0","0","0","53","0","23.7","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1340","0","0","0","47.55","0","19.55","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1360","0","0","0","42.65","0","16","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1380","0","0","0","38.15","0","13.05","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1400","0","0","0","34.05","0","10.6","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1160","0","0","0","117","0","86.95","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1180","0","0","0","106.8","0","75.65","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1200","0","0","0","97.3","0","65.4","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1220","0","0","0","88.4","0","56.1","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1240","0","0","0","80.15","0","47.85","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1260","0","0","0","72.5","0","40.5","0","0","0","0","0","1194.55"
"APOLLOHOSP","02-May-2019","27-Jun-2019","CE","1280","0","0","0","65.45","0","34.1","0","0","0","0","0","1194.55"
