Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1020,0,0,0,413.75,0,374.5,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1660,0,0,0,27.7,0,0.3,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1060,0,0,0,375.75,0,334.65,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1080,0,0,0,270,270,314.75,0,0,0,550,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1100,0,0,0,216.5,216.5,294.8,0,0,0,1100,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1120,0,0,0,205,205,274.9,0,0,0,550,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1140,0,0,0,302.25,0,255,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1160,0,0,0,284.65,0,235.15,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1180,0,0,0,267.45,0,215.4,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1200,0,0,0,133,133,195.75,0,0,0,550,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1220,0,0,0,234.3,0,176.3,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1240,0,0,0,94.05,93.7,157.2,0,0,0,2750,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1260,0,0,0,109.8,109.8,138.55,0,0,0,1650,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1280,0,0,0,65,65,120.6,0,0,0,550,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1300,0,0,0,79.9,79.9,103.55,0,0,0,5500,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1320,76.25,76.25,76.25,76.25,76.25,76.25,1,7.68,0.42,11000,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1340,52.4,69.9,48,64.05,65,64.05,15,115.47,4.92,14300,-3300,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1360,40.25,55.25,36.95,49.9,50.55,49.9,52,402.26,13.3,24750,-7700,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1380,35.3,43,30,39.65,40.1,39.65,246,1915.97,48.83,33000,-16500,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1400,26.4,32.95,20,30.35,30.85,30.35,781,6134.29,120.59,124300,19800,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1420,17.15,24.2,14.1,22.5,22.75,22.5,229,1813.87,25.38,44000,11000,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1440,15,17.5,10.1,15.95,16.45,15.95,201,1607.72,15.8,25300,4400,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1460,6.95,11.95,6.25,11.3,11.6,11.3,35,282.89,1.84,21450,3850,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1480,4.65,7.95,4.65,7.65,7.95,7.65,14,114.44,0.48,7700,3850,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1500,4,5.5,3.3,4.95,4.95,4.95,35,289.62,0.87,35200,8800,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1520,0,0,0,3.5,3.5,5.85,0,0,0,1100,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1540,0,0,0,5.75,5.75,4,0,0,0,2200,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1560,0,0,0,3.7,3.7,2.7,0,0,0,1100,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1580,0,0,0,3.2,3.2,1.75,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1600,1.5,1.5,1.5,1.5,1.5,1.5,1,8.81,0.01,1650,550,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1620,0,0,0,35.4,0,0.75,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1640,0,0,0,31.3,0,0.45,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,CE,1040,0,0,0,394.65,0,354.6,0,0,0,0,0,1390.7
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1020,0,0,0,413.75,0,362.65,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1040,0,0,0,394.65,0,342.75,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1060,0,0,0,375.75,0,322.8,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1080,0,0,0,270,270,302.85,0,0,0,550,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,CE,1100,0,0,0,216.5,216.5,282.95,0,0,0,1100,0,1379.1
